Nome,Data de Nascimento,Altura,Nacionalidade,Gênero,Grupo
Aiko,22/11/1975,1.52 m,Japonesa,Feminino,Cantores
Alba Flores,27/10/1986,1.76 m,Espanhola,Feminino,Atores
Afonso Herrera,28/08/1983,1.78 m,Mexicano,Masculino,Atores
Alvaro Xaro Neto,04/11/1999,1.83 m,Brasileiro,Masculino,Digital Influencers
Andrea Chong,21/08/1987,1.63 m,Canadense,Feminino,Digital Influencers
Anitta,30/03/1993,1.62 m,Brasileira,Feminino,Cantores
Bruno Mars,08/10/1985,1.65 m,Estadunidense,Masculino,Cantores
Chiara Ferragni,07/05/1987,1.77 m,Italiana,Feminino,Digital Influencers
Christian Chávez,07/08/1983,1.80 m,Mexicano,Masculino,Cantores
Deolane Bezerra,01/11/1987,1.63 m,Brasileira,Feminino,Digital Influencers
Didintle Khunou,14/11/1992,1.61 m,Sul-Africana,Feminino,Atores
Dulce María,06/12/1985,1.60 m,Mexicana,Feminino,Atores
Fernando Lozada,10/08/1989,1.82 m,Mexicano,Masculino,Digital Influencers
Giovanna Antonelli,18/03/1976,1.68 m,Brasileira,Feminino,Atores
Holland Roden,07/10/1986,1.60 m,Estadunidense,Feminino,Atores
Ikuforiji Olaitan Abdulrahman,22/04/1997,1.73 m,Nigeriano,Masculino,Cantores
Justin Bieber,01/03/1994,1.75 m,Canadense,Masculino,Cantores
Jung Ho-yeon,23/06/1994,1.76 m,Sul-Coreana,Feminino,Atores
Kim Kardashian,21/10/1980,1.57 m,Estadunidense,Feminino,Digital Influencers
Lisa,27/03/1997,1.67 m,Tailandesa,Feminino,Cantores
Lumena Aleluia,18/04/1991,1.68 m,Brasileira,Feminino,Digital Influencers
Malu Borges,07/06/1990,1.69 m,Brasileira,Feminino,Digital Influencers
Marco Pigossi,01/02/1989,1.80 m,Brasileiro,Masculino,Atores
Wagner Moura,27/06/1976,1.80 m,Brasileiro,Masculino,Atores
Virginia Fonseca Costa,06/04/1999,1.67 m,Estadunidense,Feminino,Digital Influencers
Zaz,01/05/1980,1.63 m,Francesa,Feminino,Cantores




